mol_id,E_HF,E_LNOMP2,E_LNOCCSD,E_LNOCCSDT,corr_MP2,corr_CCSD,corr_CCSDT,delta_MP2_to_CCSDT,mu,alpha,homo,lumo,gap,r2,mol_weight,atomic_numbers
1,-40.1987133976626,-40.3598658025067,-40.3835501744346,-40.3872363617267,-0.1611524048440955,-0.184836776772002,-0.1885229640640986,-0.027370559220003,0.0,13.21,-0.3877,0.1171,0.5048,35.3641,16.042599999999997,"[6, 1, 1, 1, 1]"
2,-56.1954978576323,-56.3821854438306,-56.3985857418917,-56.4024199977243,-0.1866875861983032,-0.2030878842594035,-0.2069221400920042,-0.0202345538937009,1.6256,9.46,-0.257,0.0829,0.3399,26.1563,17.0307,"[7, 1, 1, 1]"
3,-76.0265047476027,-76.2284851676528,-76.2381574393058,-76.2412119398627,-0.2019804200501056,-0.2116526917030938,-0.2147071922599934,-0.0127267722098878,1.8511,6.31,-0.2928,0.0687,0.3615,19.0002,18.0148,"[8, 1, 1]"
4,-76.825804940301,-77.0804559005127,-77.0977611895892,-77.1086491230303,-0.2546509602117055,-0.271956249288209,-0.2828441827293062,-0.0281932225176007,0.0,16.28,-0.2845,0.0506,0.3351,59.5248,26.037799999999997,"[6, 6, 1, 1]"
5,-92.8831980393223,-93.167052202264,-93.1762866488337,-93.1880703944075,-0.2838541629417079,-0.2930886095114005,-0.3048723550852088,-0.0210181921435008,2.8937,12.99,-0.3604,0.0191,0.3796,48.7476,27.0259,"[6, 7, 1]"
6,-113.876260936307,-114.192449030419,-114.208556061895,-114.218321939827,-0.3161880941119932,-0.33229512558799,-0.3420610035200013,-0.0258729094080081,2.1089,14.18,-0.267,-0.0406,0.2263,59.9891,30.025799999999997,"[6, 8, 1, 1]"
7,-79.2348892425762,-79.5366035865324,-79.5740163976164,-79.582088488754,-0.301714343956192,-0.3391271550402024,-0.3471992461777944,-0.0454849022216024,0.0,23.95,-0.3385,0.1041,0.4426,109.5031,30.069399999999995,"[6, 6, 1, 1, 1, 1, 1, 1]"
8,-115.049038583191,-115.387298927566,-115.4125040804,-115.420077507444,-0.3382603443749872,-0.3634654972089919,-0.3710389242529999,-0.0327785798780126,1.5258,16.97,-0.2653,0.0784,0.3437,83.794,32.041599999999995,"[6, 8, 1, 1, 1, 1]"
9,-115.87412225178,-116.269556249318,-116.299276313435,-116.314706463058,-0.3954339975380065,-0.4251540616550073,-0.4405842112780078,-0.0451502137400012,0.7156,28.78,-0.2609,0.0613,0.3222,177.1963,40.0646,"[6, 6, 6, 1, 1, 1, 1]"
10,-131.937484607581,-132.359957577637,-132.382031198245,-132.398224696894,-0.4224729700559919,-0.4445465906639754,-0.460740089312992,-0.0382671192570001,3.8266,24.45,-0.3264,0.0376,0.364,160.7223,41.052699999999994,"[6, 6, 7, 1, 1, 1]"
11,-152.928330504849,-153.384746994449,-153.413511824505,-153.427876154197,-0.4564164896000022,-0.4851813196560215,-0.4995456493480219,-0.0431291597480196,2.5682,25.11,-0.254,-0.0198,0.2342,166.9728,44.0526,"[6, 6, 8, 1, 1, 1, 1]"
12,-168.947729172821,-169.429702844279,-169.448639769036,-169.463552284051,-0.4819736714580074,-0.5009105962149931,-0.5158231112299916,-0.0338494397719841,3.7286,21.57,-0.2543,0.0302,0.2845,145.3078,45.0407,"[7, 6, 8, 1, 1, 1]"
13,-118.272421569422,-118.716521594264,-118.767065046597,-118.779737036677,-0.444100024842001,-0.4946434771750034,-0.5073154672550118,-0.0632154424130106,0.0597,34.75,-0.323,0.0949,0.4179,227.1361,44.0962,"[6, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1]"
14,-154.092061576536,-154.571788974594,-154.610171071836,-154.622247194277,-0.479727398058003,-0.5181094952999956,-0.5301856177410116,-0.0504582196830085,1.4131,27.87,-0.2619,0.0798,0.3417,193.1659,46.0684,"[6, 6, 8, 1, 1, 1, 1, 1, 1]"
15,-154.075760853843,-154.553311414878,-154.593084732843,-154.605520045867,-0.4775505610350024,-0.5173238790000028,-0.5297591920239881,-0.0522086309889857,1.1502,28.13,-0.2525,0.091,0.3435,187.1015,46.0684,"[6, 8, 6, 1, 1, 1, 1, 1, 1]"
16,-117.067123474203,-117.48970953413,-117.529020490335,-117.542513586124,-0.4225860599269992,-0.4618970161319993,-0.4753901119210013,-0.052804051994002,0.0005,30.82,-0.2888,0.1042,0.393,155.8145,42.0804,"[6, 6, 6, 1, 1, 1, 1, 1, 1]"
17,-152.876946411548,-153.338420158937,-153.366282049601,-153.38028830523,-0.4614737473889931,-0.4893356380530065,-0.5033418936820055,-0.0418681462930123,1.7675,24.04,-0.2682,0.1042,0.3724,129.891,44.0526,"[6, 6, 8, 1, 1, 1, 1]"
18,-191.977061901676,-192.574710672826,-192.616311143374,-192.635314024417,-0.5976487711500056,-0.6392492416979962,-0.6582521227410041,-0.0606033515909985,2.7362,35.53,-0.2431,-0.0087,0.2344,292.4367,58.0794,"[6, 6, 6, 8, 1, 1, 1, 1, 1, 1]"
19,-207.995618621165,-208.617380835914,-208.649742174064,-208.669037737125,-0.6217622147489976,-0.6541235528989944,-0.6734191159600016,-0.0516569012110039,3.6367,31.83,-0.2436,0.0347,0.2783,267.6148,59.067499999999995,"[6, 6, 7, 8, 1, 1, 1, 1, 1]"
20,-224.010053152499,-224.654421655396,-224.67901289802,-224.698222819412,-0.644368502896981,-0.6689597455209935,-0.6881696669129838,-0.0438011640160027,3.4869,28.07,-0.2495,0.0556,0.3051,244.2308,60.0556,"[7, 6, 7, 8, 1, 1, 1, 1]"
